1000 2510
0 148
533 920 1876
338 345 9794
309 830 3178
61 680 7626
383 625 3483
404 279 9607
316 585 1272
374 923 6535
913 911 9528
204 57 -6191
456 278 1945
742 166 5161
892 220 1261
925 214 6325
695 524 8838
299 169 3779
261 486 833
916 797 -5605
995 463 7312
858 591 3929
890 138 961
391 272 9822
763 63 4337
328 222 1311
9 440 6332
515 251 289
433 400 6026
410 209 4150
497 152 454
111 833 110
267 284 3220
231 560 746
411 595 2391
281 838 7438
86 719 3054
292 373 9090
504 250 3349
702 491 631
908 326 7431
101 250 7188
954 284 2832
644 575 8062
451 902 1415
490 795 4185
91 611 5723
224 576 6586
95 240 5958
325 873 2568
500 822 7602
616 900 8790
750 804 2760
10 684 41
650 880 4899
167 322 3
887 790 6127
324 623 6728
710 560 529
785 811 3127
391 191 1692
999 184 9541
381 515 2296
815 92 -3859
24 341 3364
387 332 4854
489 485 8998
665 86 9378
405 158 6151
4 393 5372
729 323 289
244 493 4585
602 823 3358
712 1 3586
572 665 4853
975 884 7888
66 892 -4349
639 908 486
858 283 9517
566 173 -3573
827 997 9029
854 338 600
485 507 4764
78 783 9502
470 562 261
344 542 6006
395 330 5331
252 19 4140
844 187 8163
825 632 7154
829 211 7001
590 270 9823
799 914 7101
584 345 -1486
632 17 4213
756 393 4832
406 811 5501
481 410 5104
331 205 9407
555 926 739
605 247 8955
329 408 4259
622 971 136
953 522 9679
15 247 8694
892 0 2185
736 915 2208
94 717 3180
137 252 7342
774 262 1219
435 949 8404
596 128 8860
997 184 8416
956 691 2200
973 262 -5237
379 413 3258
542 122 9076
142 749 1515
994 922 6813
437 215 3342
775 894 -5771
680 938 1581
126 284 5025
221 793 8645
692 469 9662
632 911 272
207 359 5728
567 741 533
284 206 6619
843 53 7472
93 501 7958
197 537 1730
419 122 1099
85 34 4881
949 719 5103
629 707 5736
393 154 6023
779 219 9344
435 191 3807
694 884 4396
218 414 1429
968 555 455
97 185 8836
876 614 2359
160 399 6885
591 187 4342
70 851 61
760 973 3892
152 80 -6654
428 265 3222
841 934 5592
550 120 7075
358 546 8162
987 757 4338
179 979 6887
514 851 8123
777 981 5880
415 243 1790
328 453 1719
466 373 5745
