1000 2529
0 391
844 479 7557
319 848 596
310 903 7526
599 242 -2639
633 548 7554
84 571 8129
139 243 6187
905 959 324
275 701 2610
191 403 9787
384 953 5765
114 305 5391
707 148 6873
253 588 6583
593 462 6569
516 346 3188
936 510 8725
113 34 7648
407 348 5292
698 909 1853
13 591 1789
327 304 1637
324 771 4876
369 456 -9696
725 238 48
915 543 8412
821 738 6052
802 42 8742
348 325 2843
474 618 -1759
902 569 8078
988 240 107
916 658 614
491 832 4001
819 522 5818
193 117 685
646 202 3627
739 730 4735
641 438 -1039
907 473 3564
159 558 6257
364 7 -2247
582 387 4885
640 606 1112
689 952 8718
143 268 3356
370 448 4723
521 756 3147
154 737 3100
874 792 -5701
387 369 2044
0 990 6516
918 320 2056
450 970 1059
456 642 6230
61 426 3047
707 603 8567
214 48 6321
845 569 1114
875 534 7462
404 949 6308
791 253 723
17 506 6377
116 776 6792
595 591 9277
983 81 6912
315 503 852
559 727 3345
40 205 3683
176 487 8981
286 730 5427
445 793 6113
629 350 8634
87 718 5524
224 837 8600
294 309 1944
581 830 7733
22 659 -3468
925 961 766
469 204 36
876 66 1168
131 241 8348
269 260 1907
358 319 2889
660 69 2631
892 316 3628
525 496 7681
542 806 3631
62 729 2372
126 775 2920
373 389 76
517 876 2323
154 245 6427
422 806 7279
520 758 6803
174 977 9809
731 403 7043
340 397 4801
533 566 5389
11 169 171
374 429 6925
144 912 5045
827 683 9052
665 172 -7699
786 148 5185
73 244 2546
520 422 -6518
375 581 8781
863 457 6961
34 566 9683
579 283 -8181
430 844 7310
73 951 7269
253 933 6848
272 174 2544
991 707 8627
630 864 -9894
418 214 4928
339 383 3432
885 335 4210
88 858 6117
970 566 893
452 839 7686
232 356 3613
580 828 1336
371 226 81
78 75 5505
100 937 6373
358 746 2608
148 618 1857
780 738 6438
7 800 9944
721 669 6214
456 760 3410
698 620 5798
33 304 5314
343 877 1427
70 938 4451
538 86 -4582
515 937 1431
602 782 6654
522 244 8607
308 391 1418
860 84 1359
928 318 3628
112 726 1609
415 868 310
299 570 1305
885 557 2918
920 240 6652
553 839 8119
320 812 2136
290 457 77
88 603 775
857 794 8288
585 322 3370
622 898 186
893 726 -5140
151 894 5513
186 929 635
422 839 168
798 512 5329
936 106 1466
584 540 6942
91 107 6410
788 860 1858
256 446 4657
519 811 6513
263 115 7590
921 92 5873
442 204 9269
598 22 2352
43 788 1437
441 869 9076
616 768 9536
537 92 5407
591 361 2231
598 663 9879
342 858 4061
499 933 5511
56 144 7256
871 41 8392
49 164 1997
974 161 -2083
344 523 750
262 358 1214
741 806 1589
897 612 -8261
21 826 9018
520 714 -9045
784 333 -7716
532 19 4090
759 422 1883
705 216 2661
638 309 973
496 742 6109
68 912 2763
999 608 7545
979 137 8415
919 612 6570
720 809 5876
745 996 639
347 179 8802
6 905 959
521 116 8431
566 132 4109
338 874 1040
749 598 8225
52 861 4972
531 256 -5554
371 681 3498
659 914 4908
920 953 7648
655 939 8264
910 206 5210
969 423 2037
727 929 4052
395 800 9663
218 272 -7089
426 5 -5158
37 544 9414
61 42 5820
252 885 6929
295 958 5046
732 557 3482
346 899 3492
192 167 1369
710 98 8964
553 102 -4356
199 216 214
954 35 6164
227 110 7144
276 874 7773
194 81 701
841 621 1133
617 774 -4608
527 686 3922
952 900 4922
516 416 2248
904 64 1302
537 809 6711
431 792 118
762 640 1784
989 7 6241
758 474 8080
228 12 4997
30 388 276
416 946 -6846
127 943 6935
417 273 8647
249 466 5979
163 557 9963
196 310 2697
478 316 2446
381 49 7408
75 427 793
971 556 5297
226 198 8936
338 977 7020
678 432 1903
611 68 254
823 110 6035
331 97 9595
497 207 7166
14 991 6267
636 752 -1600
875 110 253
258 432 4133
258 192 87
740 231 1622
25 847 5742
213 274 6045
388 781 696
961 76 4874
72 909 9771
199 754 3913
605 702 3938
313 743 9184
370 495 3473
775 146 4044
121 559 6883
411 966 2855
303 32 2057
768 729 7732
425 479 -5908
544 113 6780
506 955 2036
650 411 124
364 386 9924
747 764 8055
266 144 8584
867 651 4459
260 97 5199
866 530 7408
966 167 7178
807 675 4716
175 253 5527
849 58 7744
173 356 1098
90 476 309
395 20 4567
297 619 -532
119 992 2594
680 825 9977
932 695 4133
512 306 6622
594 333 5660
797 505 5761
663 759 9917
11 28 -6522
417 62 5459
573 685 1805
679 188 -6675
615 34 627
214 234 3811
383 142 3803
747 535 4864
348 130 8409
257 994 1951
111 114 2071
552 183 3707
712 201 2355
690 548 4808
918 506 4797
397 414 4788
365 47 8021
135 652 9654
795 904 3667
350 756 -7006
195 715 8741
808 77 231
953 862 -4446
960 691 8629
145 740 4688
909 378 1668
298 123 563
314 220 8402
657 188 1764
450 411 196
506 814 2159
556 219 5094
833 316 -6771
57 534 5012
205 769 1539
774 445 3731
803 617 6649
347 325 5882
948 584 650
985 528 9180
778 795 539
403 844 7823
611 183 8492
831 891 8255
693 940 3284
467 815 8926
76 927 558
189 174 1706
680 991 8270
762 262 2653
457 228 7011
922 179 4105
512 912 -9334
748 648 2213
389 182 5252
704 449 7271
711 340 2434
851 598 1827
375 952 1449
63 106 1010
53 622 9389
97 264 7436
137 993 9545
157 637 3635
169 60 9505
462 513 6314
402 992 4406
161 89 3792
108 226 550
247 909 9021
308 546 5880
753 114 9866
732 351 1842
530 675 9001
555 295 3479
246 675 5124
884 432 5246
503 371 4398
633 965 5741
501 436 8806
680 654 7396
955 406 6902
700 570 5592
360 925 171
996 85 9574
582 94 3670
142 985 6383
408 887 800
75 789 3610
974 548 1275
982 796 -2029
405 51 4617
584 862 9155
91 282 2797
832 997 9845
202 228 812
683 76 6358
705 384 4449
376 797 5664
645 632 1954
288 584 3776
251 391 3116
931 290 593
840 26 -7596
965 735 -5355
407 782 5353
789 420 9070
510 849 -6967
6 5 3133
433 669 5487
761 852 5116
759 41 8382
434 25 5256
677 422 7451
359 703 5827
979 709 1830
130 702 8394
503 536 5057
182 338 8283
258 694 6486
379 771 1310
141 387 8796
644 841 9265
551 432 2878
927 181 3614
146 526 4109
287 303 502
478 466 6384
477 501 8601
558 77 5047
354 126 9956
934 407 7301
810 54 3771
422 878 4798
296 140 1101
634 496 5983
756 614 2228
554 901 2935
458 916 4115
69 796 9562
99 974 9463
98 313 3524
202 58 7027
911 424 8538
613 808 2338
165 183 3435
432 954 603
573 584 6544
953 346 1787
725 246 8345
201 377 1622
612 920 5123
62 320 8567
968 622 4024
662 994 9801
656 894 2869
816 359 905
987 953 9553
925 157 4245
702 884 5502
495 220 8321
93 222 8718
413 795 5888
729 482 1151
324 930 5264
408 824 2849
22 220 3085
966 975 3936
181 53 6252
183 898 7156
773 87 6974
19 906 3838
42 442 8427
