500 1257
0 20
267 390 8560
174 293 8037
384 123 9043
373 25 9997
429 201 3804
167 19 6349
368 494 800
198 335 3797
25 498 -762
426 408 4643
79 232 3734
103 208 4567
441 283 4208
173 44 8313
447 437 9188
451 105 8980
321 402 316
386 84 1440
294 350 549
87 99 3637
222 306 7206
416 359 1813
183 55 1822
265 453 -381
138 374 5137
303 280 5660
264 62 4021
347 259 4628
183 485 1337
378 451 7268
470 171 7510
479 111 287
446 98 9274
172 46 1747
80 328 6945
305 215 8870
0 81 1048
216 427 751
464 409 4834
32 7 5258
187 386 1609
459 77 9956
250 100 9648
203 209 5858
216 253 4768
495 209 6667
162 133 4460
78 16 2908
466 57 3268
193 59 9320
158 11 1186
425 37 5144
61 302 9139
79 34 633
27 159 -191
361 433 1632
290 340 1269
100 320 6369
2 235 3121
326 458 1843
360 218 1710
187 347 8023
101 422 5672
287 190 2164
66 119 3290
364 80 -327
83 215 3925
103 382 4754
366 84 6751
267 402 5556
390 335 1296
435 200 -882
155 480 7408
236 211 5242
93 257 -497
134 454 6916
132 185 2378
452 366 2353
70 13 9857
370 413 -894
280 89 1490
354 57 8226
481 352 1546
14 101 2395
296 392 8247
381 57 7031
260 478 3546
84 115 9422
237 74 2675
41 238 4139
87 397 591
107 332 3632
338 66 9119
322 147 1269
81 349 6869
113 204 8963
62 330 3060
296 51 7304
154 203 8015
458 145 3983
311 341 -733
472 299 2257
341 419 1507
284 214 3390
211 33 6602
399 460 586
132 291 4908
291 436 4628
192 49 2907
91 439 1942
383 101 9197
312 384 3493
248 207 9206
461 322 3872
85 367 5334
217 113 7406
446 258 5074
358 54 9756
212 65 8264
115 107 2988
360 35 1072
242 417 7716
450 471 222
288 326 -219
380 194 2665
132 265 9048
295 47 793
448 126 1629
294 422 8684
426 443 8293
146 51 2391
21 241 700
278 200 1084
480 225 4617
304 66 6547
213 495 3049
203 400 2404
145 397 1402
349 365 2098
72 423 1343
54 111 4592
135 442 6262
404 449 4553
265 383 2631
256 261 9215
180 376 7218
260 275 -973
414 480 -556
152 375 2763
271 153 8577
442 448 6244
171 108 8860
391 203 9243
337 406 4305
465 370 2100
103 31 1748
272 387 122
76 407 2490
374 379 6266
417 350 4212
370 139 3032
437 454 4066
191 285 6784
143 452 9615
309 393 493
123 382 4663
150 86 9373
427 435 2009
116 194 1616
341 373 1019
412 387 8558
327 41 621
169 35 5750
400 53 1819
236 408 2172
9 424 2703
359 230 8048
5 114 9171
287 41 3999
454 80 7468
206 137 6063
175 310 476
431 28 9479
476 483 5057
383 452 8112
342 231 3890
198 171 7678
249 61 3970
333 458 -708
88 111 8096
487 374 482
54 381 -616
29 407 1732
460 199 9629
401 5 1967
163 30 2908
219 230 6267
223 383 -268
38 473 8911
363 124 -824
342 47 -847
424 356 8635
371 121 8840
6 215 2959
390 38 5300
380 182 3422
269 248 3449
0 439 7554
381 302 665
335 38 -523
71 368 5604
276 198 9760
91 218 -591
19 224 6262
403 427 7347
495 144 7672
203 84 8149
479 34 2504
460 409 2441
371 82 5772
442 30 7441
177 431 -458
185 7 1963
375 292 6783
144 368 7909
308 361 5546
362 375 1303
415 430 9624
189 406 8639
383 277 -482
12 151 9560
177 235 5327
320 86 5012
343 431 7075
248 426 -420
72 254 7860
353 430 7343
394 486 3740
247 425 6268
3 463 5460
137 288 4127
71 2 4631
247 71 2525
16 406 1367
55 168 8674
75 147 4896
347 111 8859
351 231 1853
209 202 5349
227 99 5129
228 497 4356
114 157 9900
218 247 984
36 248 8449
377 38 7480
358 249 5515
184 155 346
468 226 1172
361 256 5421
333 374 262
24 270 9010
233 156 3878
252 282 9003
214 482 -458
270 395 8863
444 466 5830
399 128 9380
63 382 7115
102 375 8116
94 407 2246
176 488 7117
197 242 4172
494 176 3539
263 173 5811
127 119 8148
75 80 3259
403 405 8455
22 288 6089
352 386 8803
372 336 3114
399 77 6902
455 316 5253
59 407 6390
266 100 2085
488 82 949
243 132 8455
355 348 56
306 267 8574
467 13 1861
299 170 611
123 56 6640
432 4 3736
323 257 4043
269 309 2225
437 57 3771
277 463 1762
418 71 7747
411 339 2565
368 85 -776
385 270 9498
270 496 259
357 30 3203
3 161 5909
61 265 5342
53 484 3671
136 489 7308
204 212 2554
416 331 -275
423 376 380
22 428 9559
40 65 6017
405 272 7618
124 272 5737
281 83 1461
73 458 3765
98 66 7477
311 243 2707
348 23 4295
20 218 4789
469 288 7711
302 315 297
214 232 6681
425 212 -992
128 269 5241
113 20 9253
311 391 2938
34 499 9286
325 404 6828
310 142 3115
89 402 2884
